PERP,PERP
CITED2,CITED2
HIVEP2,HIVEP2
ADAT2,ADAT2
PEX3,PEX3
PHACTR2,PHACTR2
STXBP5,STXBP5
ZC3H12D,ZC3H12D
NUP43,NUP43
ZBTB2,ZBTB2
SYNE1,SYNE1
RGS17,RGS17
TULP4,TULP4
TMEM181,TMEM181
SYTL3,SYTL3
TAGAP,TAGAP
MAP3K4,MAP3K4
AGPAT4,AGPAT4
CCR6,CCR6
PHF10,PHF10
PRKAR1B,PRKAR1B
CHST12,CHST12
LFNG,LFNG
ACTB,ACTB
FSCN1,FSCN1
CYTH3,CYTH3
MIOS,MIOS
GLCCI1,GLCCI1
ANKMY2,ANKMY2
TSPAN13,TSPAN13
SP4,SP4
KLHL7,KLHL7
CCDC126,CCDC126
FAM221A,FAM221A
MPP6,MPP6
OSBPL3,OSBPL3
CPVL,CPVL
PLEKHA8,PLEKHA8
BBS9,BBS9
AOAH,AOAH
TRGC2,TRGC2
TRGC1,TRGC1
TRGV10,TRGV10
TRGV9,TRGV9
TRG-AS1,TRG-AS1
TRGV5,TRGV5
TRGV4,TRGV4
TRGV3,TRGV3
TRGV2,TRGV2
URGCP,URGCP
IGFBP3,IGFBP3
UPP1,UPP1
FIGNL1,FIGNL1
ZNF736,ZNF736
ZNF680,ZNF680
ZNF273,ZNF273
ZNF92,ZNF92
AUTS2,AUTS2
TYW1B,TYW1B
DNAJC30,DNAJC30
STX1A,STX1A
NCF1,NCF1
CCDC146,CCDC146
FGL2,FGL2
PHTF2,PHTF2
KIAA1324L,KIAA1324L
CROT,CROT
ABCB1,ABCB1
ADAM22,ADAM22
MTERF1,MTERF1
PEX1,PEX1
CDK6,CDK6
CASD1,CASD1
PEG10,PEG10
ASNS,ASNS
LMTK2,LMTK2
PTCD1,PTCD1
ZNF789,ZNF789
ZKSCAN5,ZKSCAN5
FAM200A,FAM200A
ZSCAN25,ZSCAN25
ZNF3,ZNF3
MCM7,MCM7
PVRIG,PVRIG
PILRB,PILRB
ZCWPW1,ZCWPW1
AGFG2,AGFG2
SAP25,SAP25
GIGYF1,GIGYF1
IFT22,IFT22
NAPEPLD,NAPEPLD
PUS7,PUS7
RINT1,RINT1
CDHR3,CDHR3
NAMPT,NAMPT
DUS4L,DUS4L
LRRN3,LRRN3
TMEM168,TMEM168
WASL,WASL
POT1,POT1
POT1-AS1,POT1-AS1
RBM28,RBM28
CCDC136,CCDC136
SMKR1,SMKR1
NRF1,NRF1
CPA5,CPA5
AC016831.7,AC016831.7
SLC35B4,SLC35B4
TMEM140,TMEM140
NUP205,NUP205
TRIM24,TRIM24
UBN2,UBN2
